iter	Passed	Remaining
756	6168	1979
757	6176	1971
758	6185	1963
759	6192	1955
760	6200	1947
761	6207	1938
762	6215	1930
763	6224	1922
764	6233	1914
765	6243	1907
766	6248	1898
767	6257	1890
768	6266	1882
769	6275	1874
770	6285	1866
771	6293	1858
772	6300	1850
773	6306	1841
774	6314	1833
775	6322	1824
776	6329	1816
777	6335	1807
778	6342	1799
779	6351	1791
780	6359	1783
781	6367	1775
782	6375	1766
783	6381	1758
784	6390	1750
785	6397	1741
786	6406	1733
787	6414	1725
788	6421	1717
789	6430	1709
790	6437	1701
791	6446	1692
792	6454	1684
793	6464	1677
794	6471	1668
795	6479	1660
796	6488	1652
797	6496	1644
798	6501	1635
799	6508	1627
800	6513	1618
801	6521	1609
802	6529	1601
803	6538	1593
804	6545	1585
805	6553	1577
806	6561	1569
807	6569	1560
808	6576	1552
809	6584	1544
810	6592	1536
811	6600	1528
812	6607	1519
813	6615	1511
814	6623	1503
815	6632	1495
816	6640	1487
817	6651	1479
818	6658	1471
819	6667	1463
820	6674	1455
821	6683	1447
822	6692	1439
823	6701	1431
824	6708	1423
825	6713	1414
826	6722	1406
827	6732	1398
828	6740	1390
829	6748	1382
830	6754	1373
831	6762	1365
832	6770	1357
833	6780	1349
834	6788	1341
835	6795	1333
836	6804	1325
837	6814	1317
838	6822	1309
839	6830	1301
840	6840	1293
841	6849	1285
842	6858	1277
843	6867	1269
844	6875	1261
845	6883	1252
846	6891	1244
847	6900	1236
848	6908	1228
849	6918	1220
850	6926	1212
851	6932	1204
852	6940	1196
853	6946	1187
854	6955	1179
855	6961	1171
856	6969	1162
857	6976	1154
858	6983	1146
859	6992	1138
860	7001	1130
861	7008	1121
862	7017	1114
863	7026	1105
864	7035	1098
865	7045	1090
866	7054	1082
867	7063	1074
868	7071	1065
869	7081	1058
870	7090	1050
871	7098	1042
872	7106	1033
873	7114	1025
874	7123	1017
875	7131	1009
876	7139	1001
877	7147	993
878	7155	984
879	7163	976
880	7170	968
881	7178	960
882	7186	952
883	7195	944
884	7202	935
885	7209	927
886	7218	919
887	7228	911
888	7236	903
889	7242	895
890	7252	887
891	7258	878
892	7266	870
893	7273	862
894	7282	854
895	7289	846
896	7296	837
897	7304	829
898	7312	821
899	7321	813
900	7328	805
901	7337	797
902	7344	788
903	7350	780
904	7357	772
905	7364	764
906	7372	755
907	7380	747
908	7388	739
909	7395	731
910	7403	723
911	7412	715
912	7421	707
913	7426	698
914	7436	690
915	7444	682
916	7452	674
917	7459	666
918	7467	658
919	7477	650
920	7485	642
921	7495	634
922	7500	625
923	7508	617
924	7515	609
925	7522	601
926	7530	593
927	7539	584
928	7547	576
929	7552	568
930	7559	560
931	7565	552
932	7574	543
933	7583	535
934	7591	527
935	7601	519
936	7608	511
937	7616	503
938	7625	495
939	7635	487
940	7644	479
941	7649	470
942	7657	462
943	7667	454
944	7672	446
945	7679	438
946	7688	430
947	7697	422
948	7705	414
949	7714	406
950	7721	397
951	7729	389
952	7735	381
953	7743	373
954	7752	365
955	7760	357
956	7769	349
957	7775	340
958	7784	332
959	7791	324
960	7799	316
961	7807	308
962	7814	300
963	7821	292
964	7830	284
965	7838	275
966	7847	267
967	7855	259
968	7863	251
969	7871	243
970	7880	235
971	7888	227
972	7896	219
973	7904	211
974	7912	202
975	7920	194
976	7928	186
977	7935	178
978	7945	170
979	7954	162
980	7961	154
981	7970	146
982	7977	137
983	7984	129
984	7992	121
985	7999	113
986	8008	105
987	8016	97
988	8024	89
989	8032	81
990	8039	73
991	8046	64
992	8053	56
993	8062	48
994	8070	40
995	8078	32
996	8087	24
997	8095	16
998	8103	8
999	8112	0
